genus,species,fangs,toxicity,rating,common name
Dendrelaphis,inornatus,rear-fanged,unclear toxicity,???,Lesser Sundas Bronzeback
Dendrelaphis,keiensis,rear-fanged,unclear toxicity,???,Kei tree snake
Dendrelaphis,kopsteini,rear-fanged,unclear toxicity,???,Kopstein’s Bronzeback Snake
Dendrelaphis,levitoni,rear-fanged,unclear toxicity,???,Palawan Stripe tailed Bronzeback
Dendrelaphis,lineolatus,rear-fanged,unclear toxicity,???,Bicolored bronzeback
Dendrelaphis,lorentzii,rear-fanged,unclear toxicity,???,Lorentz River treesnake
Dendrelaphis,luzonensis,rear-fanged,unclear toxicity,???,Luzon Stripe tailed Bronzeback
Dendrelaphis,macrops,rear-fanged,unclear toxicity,???,Big head bronzeback
Dendrelaphis,marenae,rear-fanged,unclear toxicity,???,Maren’s Bronzeback
Dendrelaphis,modestus,rear-fanged,unclear toxicity,???,Striped Bronzeback
Dendrelaphis,ngansonensis,rear-fanged,unclear toxicity,???,Nganson Bronzeback Tree Snake
Dendrelaphis,nigroserratus,rear-fanged,unclear toxicity,???,Saw tooth necked Bronzeback
Dendrelaphis,oliveri,rear-fanged,unclear toxicity,???,Oliver's Bronzeback
Dendrelaphis,papuensis,rear-fanged,venomous,harmful bite,Papuan treesnake
Dendrelaphis,philippinensis,rear-fanged,unclear toxicity,???,Mindanao Stripe tailed Bronzeback
Dendrelaphis,pictus,rear-fanged,unclear toxicity,???,Indonesian bronzeback
Dendrelaphis,punctulatus,rear-fanged,unclear toxicity,???,Green Tree Snake
Dendrelaphis,schokari,rear-fanged,unclear toxicity,???,Common Sri Lanka Bronzeback
Dendrelaphis,sinharajensis,rear-fanged,unclear toxicity,???,Sinharaja tree snake
Dendrelaphis,striatus,rear-fanged,unclear toxicity,???,Banded Bronzeback
Dendrelaphis,striolatus,rear-fanged,unclear toxicity,???,Palau islands bronzeback
Dendrelaphis,subocularis,rear-fanged,unclear toxicity,???,Burmese Bronzeback
Dendrelaphis,terrificus,rear-fanged,unclear toxicity,???,Terrific Bronzeback
Dendrelaphis,tristis,rear-fanged,unclear toxicity,???,Common Bronzeback Tree Snake
Dendrelaphis,underwoodi,rear-fanged,unclear toxicity,???,Underwood’s Bronzeback snake
Dendrelaphis,walli,rear-fanged,unclear toxicity,???,Southern Burmese Bronzeback
Dendrophidion,apharocybe,rear-fanged,unclear toxicity,???,Central American Barred Forest Racer
Dendrophidion,atlantica,rear-fanged,unclear toxicity,???,Atlantic Forest Racer
Dendrophidion,bivittatus,rear-fanged,unclear toxicity,???,Forest Racer
Dendrophidion,boshelli,rear-fanged,unclear toxicity,???,Hoshell's Forest Racer
Dendrophidion,brunneum,rear-fanged,unclear toxicity,???,Günther's Forest Racer
Dendrophidion,clarkii,rear-fanged,unclear toxicity,???,Clark's Forest Racer
